G-word;E-word;WdNum;VAL_Mean;VAL_SD;ARO_Mean_(ANEW);ARO_SD_(ANEW);ARO_Mean_(BAWL);ARO_SD_(BAWL);DOM_Mean;DOM_SD;POT_Mean;POT_SD;IMA_MEAN;IMA_SD;freq_Leipzig;freq_SUBTLEX;#_letters;#_syllables;word_class;N_orth;HFN;NF_MAX;F_SUM
stören;disturb;727;-1.65;0.77;6.20;1.58;3.43;1.14;5.19;1.26;5.92;1.41;3.88;1.82;676.00;35.59;6;2;V;2;0;0.50;0.50
Puppe;doll;728;0.45;0.94;3.90;1.71;2.00;0.91;6.94;1.70;2.61;1.28;5.41;1.56;162.00;18.27;5;2;S;4;1;9.00;19.67
Dollar;dollar;729;0.60;1.30;4.50;2.12;2.38;0.98;5.38;1.39;5.35;1.90;6.15;0.99;13789.00;173.71;6;2;S;0;0;0.00;0.00
Taube;dove;730;0.75;1.16;3.45;1.90;1.89;1.05;5.94;1.53;3.68;1.42;5.82;1.30;88.00;7.13;5;2;S;3;0;7.83;13.17
düster;dreary;731;-1.20;1.52;4.90;1.59;3.31;1.01;3.81;1.11;6.12;1.36;4.50;1.32;256.00;3.66;6;2;A;4;0;0.83;1.50
Schaufensterpuppe;dummy;732;0.48;1.18;3.50;1.57;2.61;0.72;5.94;2.12;4.08;0.95;6.24;1.09;11.00;0.39;17;5;S;0;0;0.00;0.00
Müllkippe;dump;733;-1.36;1.28;5.25;1.89;2.88;1.21;5.00;1.12;5.18;1.66;5.50;1.40;52.00;1.02;9;3;S;0;0;0.00;0.00
einfach;easy;734;0.67;0.90;3.35;1.18;1.77;0.76;5.88;1.30;3.85;1.33;2.30;1.53;11574.00;1189.06;7;2;A;0;0;0.00;0.00
Ekstase;ecstasy;735;2.00;0.94;7.15;1.50;4.50;0.89;5.75;1.79;6.90;1.22;4.56;1.67;74.00;0.75;7;3;S;0;0;0.00;0.00
Ei;egg;736;0.38;1.02;3.15;1.35;2.08;0.84;6.00;1.72;4.05;1.54;6.60;1.14;330.00;24.06;2;1;S;4;2;7934.00;15505.17
Ellbogen;elbow;737;-0.19;0.98;4.20;1.77;2.46;0.90;5.44;1.15;4.88;1.45;6.45;1.15;92.00;4.06;8;4;S;0;0;0.00;0.00
Fahrstuhl;elevator;738;0.23;0.67;4.70;1.81;2.69;0.85;5.44;2.04;4.60;1.77;6.44;1.16;149.00;11.06;9;2;S;0;0;0.00;0.00
Ereignis;event;740;0.47;0.64;5.55;1.54;2.88;0.95;5.06;1.40;5.00;1.28;2.35;1.42;1023.00;9.76;8;3;S;0;0;0.00;0.00
böse;evil;741;-1.89;0.99;6.65;1.35;3.50;1.01;5.31;1.79;6.59;1.61;4.14;1.46;41.00;117.37;4;2;A;2;0;2.33;2.33
Stoff;fabric;742;0.60;0.87;3.90;1.80;2.72;0.84;5.88;1.43;4.90;1.73;5.30;1.17;285.00;26.18;5;3;S;0;0;0.00;0.00
Absturz;fall;743;-2.00;0.82;7.00;1.78;4.10;0.70;4.00;1.87;6.18;1.41;5.22;0.44;852.00;7.36;7;2;S;0;0;0.00;0.00
falsch;0;744;-1.47;1.13;6.95;1.64;3.42;1.03;4.69;1.10;5.20;1.41;2.40;1.50;2749.00;167.41;6;1;A;0;0;0.00;0.00
berühmt;famous;745;1.21;1.63;5.35;1.63;3.12;0.99;5.63;1.37;5.45;1.32;3.25;1.45;520.00;18.70;7;2;A;0;0;0.00;0.00
Phantasie;fantasy;746;2.07;0.88;5.00;2.45;3.31;1.05;6.19;2.02;5.90;2.17;3.20;1.96;711.00;4.61;9;3;S;0;0;0.00;0.00
Schuld;fault;747;-1.70;0.48;6.35;1.90;3.57;0.75;4.31;1.54;6.96;1.21;2.78;0.97;1979.00;191.74;6;1;S;3;1;183.00;202.83
Gefallen;favor;748;1.53;1.05;4.65;1.66;2.39;1.03;5.63;1.37;4.80;1.40;3.00;1.77;360.00;0.00;8;3;S;1;1;6.67;6.67
Fieber;fever;750;-1.80;1.01;6.50;1.05;3.70;0.86;3.56;1.76;5.75;1.41;4.05;1.79;289.00;19.13;6;2;S;2;1;43.50;43.50
Kampf;fight;751;-1.60;1.65;6.80;1.70;4.05;0.74;5.94;1.78;6.98;1.03;5.48;1.26;5967.00;108.08;5;1;S;1;0;5.50;5.50
Finger;finger;752;0.70;0.80;4.00;2.10;2.11;1.15;6.50;1.40;4.65;1.63;5.91;1.38;1105.00;84.10;6;2;S;3;0;1.17;1.50
Fahne;flag;753;-0.20;0.95;3.95;1.76;2.00;0.92;5.81;1.20;4.48;1.40;5.55;1.41;427.00;6.18;5;2;S;1;0;5.50;5.50
Flirt;flirt;754;1.70;0.67;6.63;1.21;4.37;0.68;6.63;1.09;4.98;1.94;5.52;1.50;47.00;1.42;5;2;A;1;0;0.67;0.67
Flut;flood;755;-0.80;0.92;6.30;1.75;3.62;0.80;3.38;2.12;6.63;1.44;6.22;0.83;669.00;6.14;4;1;S;5;3;43.17;135.50
Schaum;foam;756;0.40;0.91;4.20;1.74;2.31;1.09;6.19;1.90;3.48;1.45;5.65;1.69;82.00;2.44;6;1;S;1;0;0.83;0.83
Fuß;foot;757;0.13;0.92;3.40;1.79;2.23;0.95;6.38;1.45;4.70;1.38;6.60;1.14;2291.00;65.95;3;1;S;6;0;13.33;32.83
eiskalt;frigid;758;-1.25;1.24;6.05;1.85;3.08;0.98;4.00;1.62;6.00;1.58;3.80;1.94;123.00;7.01;7;2;A;0;0;0.00;0.00
Spaß;fun;759;2.53;0.83;5.70;2.00;4.33;0.90;6.50;1.35;5.90;1.72;4.07;2.28;2727.00;219.26;4;1;S;2;0;1.83;2.83
Spiel;game;760;1.40;0.97;5.55;1.15;2.39;0.85;6.81;1.44;4.83;1.47;4.56;1.13;10461.00;221.39;5;1;S;4;0;5.33;8.33
Garten;garden;761;1.80;0.70;2.85;1.79;1.61;0.61;6.69;1.04;4.45;1.55;5.82;1.22;1691.00;29.29;6;2;S;4;1;164.83;164.83
Kleidungsstück;garment;762;0.69;1.01;3.55;1.47;2.19;0.94;6.13;1.89;4.80;1.64;5.60;1.43;55.00;0.79;14;3;S;0;0;0.00;0.00
Geschlecht;gender;763;0.19;0.75;4.70;1.26;2.73;1.04;4.88;1.28;5.78;1.35;3.75;2.15;324.00;7.01;10;2;S;0;0;0.00;0.00
